glomerulus,volume
DP1m,11725833333333.332
DM1,8227000000000.0
VL2p,7043000000000.0
VM6,7010333000000
DM4,6474833333333.333
VA2,5945000000000.0
VA6,5606500000000.0
VC1,5412166666666.666
VL2a,5254833333333.333
DC1,5113000000000.0
DC4,4953500000000
DL5,4749166666666.666
VA4,3650833333333.333
VM4,3344000000000.0
DM3,2966333333333.333
VA7l,2710666666666.6665
VC2,2598666666666.6665
DA4l,2438833333333.333
DL4,2178166666666.6665
VA1v,10563666666666.666
DA1,9753666666666.666
DM1,8227000000000.0
VL1,7471500000000
DP1l,7420500000000.0
V,7104500000000.0
VA1d,6374333333333.333
DM2,5862833333333.333
DC3,5669000000000
DL1,4917166666666.66
DL2v,4775333333333.33
VC3,4631500000000
D,4564833333333.333
VA3,4067333333333.333
VM7d,4000833333333.333
VM5d,3967333333333.333
VM5v,3653333333333.33
DL2d,3551000000000.0
VM3,3542666666666.6665
DC2,3537833333333.333
VA5,3502500000000.0
DM6,3375500000000.0
VC4,3297000000000
VC5,3130667000000
DA2,2786500000000.0
VM1,2741833333333.333
DL3,2691500000000.0
VM2,2654833333333.333
VA7m,2497000000000.0
VM7v,2374666666666.6665
DM5,2293166666666.6665
DA4m,1795500000000.0
DA3,1224833333333.33
Glomerulus 1,21300000.0
Glomerulus 3,7000000.0
Glomerulus 2,3910000.0

